
1|NBA|2018-05-22T16:00:00-04:00|Atlanta|Hawks|2,7,8,9,10|Boston|Celtics|1,3,4,5,6||18|25|25000|P0DT3H4M|
2|NBA|2018-06-23T16:00:00+04:00|Brookly| Nets|charlotte|Bobcats|
3|NBA|2018-06-08T16:00:00+04:00|Chicago|Bulls|Atlanta|Hawks|
4|NBA|2018-05-09T16:00:00+04:00|Arizona|Cardinals|Atlanta|Falcons|8|4|72982|P0DT8H4M|
5|NFL|2018-06-21T16:00:00+04:00|Baltimore|Ravens|Buffalo|Bills|
6|NFL|2018-07-08T16:00:00+04:00|Carolina|Panthers|Arizona|Cardinals|
7|NHL|2018-01-01T16:00:00+04:00|Anaheim|Ducks|Arizona|Coyotes|12|17|48283|P0DT2H8M|
8|NHL|2018-08-08T16:00:00+04:00|Boston|Bruins|Buffalo|Sabres|
9|NHL|2018-07-24T16:00:00+04:00|Calgry|Flames|Anaheim|Ducks|
10|MLB|2018-05-20T16:00:00+04:00|Arizona|Diamondbacks|Atlanta|Braves|25|20|35789|P0DT8H26M|
11|MLB|2018-06-27T16:00:00+04:00|Baltimore|Orioles|Boston|Red Sox|
12|MLB|2018-06-29T16:00:00+04:00|Chicago|White Sox|Arizona|Diamondbacks|
